,Song ID,danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration ms,songPopularity
164,5JBGbFdBtLcCCygw8rtjli,0.446,0.995,6,-1.169,1,0.223,0.000738,0.13,0.354,0.248,135.041,328733,39
165,5U0ejkfocrFIdZVRsBZoor,0.289,0.855,2,-4.619,1,0.167,0.00189,0.72,0.5,0.608,167.377,498693,36
166,0Puj4YlTm6xNzDDADXHMI9,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,178440,72
167,56H98l4uinRifnTH8e308N,0.795,0.899,1,-7.02,1,0.292,0.0766,0,0.0852,0.694,115.062,192427,54
168,5fpizYGbi5IQoEraj6FP0R,0.734,0.864,2,-6.119,1,0.303,0.022,9.94E-06,0.246,0.47,105.933,231493,69
169,2Bz2Q1JNwwPj40T9AvzE7f,0.712,0.887,2,-5.049,1,0.144,0.0192,1.11E-05,0.0597,0.63,98.036,210360,55
170,0pfcC2WyKi5NlPVgGUfy4L,0.617,0.939,5,-7.663,0,0.0624,0.418,0.000796,0.352,0.626,93.939,179507,19
171,4bag31ZolrskT7TnWSBToU,0.758,0.893,6,-8.532,1,0.121,0.00642,0.011,0.047,0.577,99.008,183760,47
172,2bKNjAVYsbJ35N2OXFfAxO,0.779,0.83,6,-12.228,1,0.256,0.0666,0,0.0599,0.79,110.159,226040,29
173,2S5CHSeaE3s6zCePzAHJuH,0.645,0.952,10,-3.45,0,0.0487,0.0487,0.000752,0.316,0.848,126.86,217120,53
174,1kjnAj3eGMGusiMlmIRKvj,0.698,0.804,2,-4.525,1,0.0425,0.0079,0.00182,0.343,0.889,126.85,206173,44
175,6XEeN3XQQod9v9DRBCIVHn,0.77,0.722,1,-7.274,1,0.0417,0.0112,0.0945,0.322,0.88,126.987,236213,42
176,08Ty4imIKiJwamGWHuW0y8,0.688,0.979,1,-4.196,0,0.0491,0.00039,0.717,0.319,0.958,119.901,225360,31
177,6lPAyXEpVKUwC4hpfDuSCo,0.84,0.974,1,-7.394,1,0.0806,0.0433,0.737,0.313,0.782,123.881,353400,43
178,3JPcICirkAw4TLp9UzEcfl,0.924,0.42,0,-11.67,1,0.578,0.000243,0.214,0.403,0.455,128.977,325173,46
179,3YcMBJQh7yXI3kW2xBFALk,0.723,0.962,8,-14.618,0,0.0534,0.0471,0.817,0.363,0.391,136.891,368667,18
180,4zL5TJ3mTTQgzq0HyF2mQc,0.571,0.968,7,-4.083,1,0.0427,0.0215,0.925,0.117,0.779,133.556,368000,0
181,5PoqgkNQXFuSu2Zl99Dh5r,0.716,0.837,11,-5.407,1,0.0366,0.00325,0.023,0.107,0.734,144.044,242533,41
182,2Yls2yYdqZKupE3kq4nPd6,0.631,0.967,11,-5.814,0,0.0588,0.000188,0.878,0.235,0.0949,120.859,560760,26
183,0Hyr2jPRwOQF8pf13n8eB1,0.518,0.916,7,-7.222,1,0.0798,0.257,0,0.84,0.485,102.81,260067,50
184,46Xfa8fSQQlq9WZWqVtowP,0.7,0.901,6,-7.44,1,0.264,0.123,9.17E-05,0.388,0.422,98.889,288240,46
185,3SdOP61TT2l8YQpSaUtsWR,0.908,0.686,5,-15.841,1,0.0918,0.166,0,0.645,0.796,114.6,230107,57
186,5q6pg1kvXfT7z5MqG0KKSs,0.867,0.554,4,-13.634,0,0.249,0.161,0.0103,0.111,0.766,96.668,252067,9
187,5ckVDfifdJnKEabvjojde4,0.894,0.622,8,-7.426,1,0.375,0.155,0,0.388,0.812,90.103,321293,6
188,4ZxTVvQnd9waywoxnfl5pm,0.943,0.612,6,-9.785,1,0.204,0.403,0,0.0739,0.913,98.964,178973,1
189,1VVd69M2zuYHvpTgFifada,0.431,0.727,1,-7.068,1,0.0329,0.00346,0.875,0.142,0.761,131.199,156560,0
190,6rkyViDoXfeipckdg4dyqg,0.672,0.607,6,-13.941,1,0.152,0.557,0.197,0.0855,0.559,92.604,423573,0
191,41VralobTkW7XgR5TebwNk,0.786,0.714,9,-7.723,1,0.304,0.179,3.27E-06,0.05,0.721,112.778,201307,51
192,7evK22wUXgq5ySwhbX1LeL,0.884,0.666,1,-7.948,1,0.0509,0.0163,0.893,0.114,0.883,100.825,421667,7
193,2cihyck09iBNsugYWxtqB6,0.823,0.597,9,-7.671,0,0.147,0.288,0.635,0.0949,0.686,154.845,210347,23
194,7sbOPZHfWXSED2Txztmb7C,0.606,0.531,0,-7.324,1,0.0292,0.147,0.0149,0.102,0.358,155.915,265600,15
195,24HVwKfb70dCKgvZ2OZDsJ,0.772,0.907,4,-2.799,0,0.0506,0.032,3.99E-06,0.191,0.781,106.917,218573,1
196,2Rr4ZOnKXUrzjhMPkmkRjK,0.823,0.51,0,-11.235,1,0.0352,0.212,0.806,0.11,0.798,114.83,335067,54
197,06DSI8L6IT8SizCw3JLckz,0.851,0.646,5,-11.516,0,0.0583,0.106,1.53E-05,0.121,0.947,115.998,279336,53
198,2nWHzbBWBOePUvAImQv2So,0.878,0.951,7,-5.077,1,0.069,0.0317,0.544,0.0614,0.607,111.334,325133,48
199,6bJGULOowvaqs5t1VSuDCw,0.671,0.69,8,-9.089,0,0.0335,0.172,0.00201,0.187,0.875,116.133,194493,45
200,6uOEHtnGxGIHuSX7LOqUPF,0.336,0.452,2,-13.828,0,0.0305,0.269,0.343,0.0949,0.339,86.564,204933,0
201,6LXHxMWpMCOr31xZsoBw4p,0.75,0.74,2,-7.312,0,0.0479,0.000222,0.878,0.0542,0.94,75.699,141507,34
202,3Yxmpx64AdWAzG3qAD4Dty,0.767,0.776,2,-8.915,1,0.144,0.0143,0,0.326,0.608,111.686,301893,59
203,6INLpBxo9F5QMer04VXEnd,0.435,0.651,0,-6.152,1,0.0288,0.00111,0.609,0.111,0.206,111.896,298467,59
204,67Hna13dNDkZvBpTXRIaOJ,0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,330773,69
205,2TfCi0Tal9i9q4Npub3is9,0.545,0.859,4,-7.587,0,0.0682,0.131,0.2,0.0921,0.115,106.027,390427,40
206,2yWyFT6bW1Rd9cjVvYi4v8,0.743,0.798,9,-8.263,1,0.0557,0.00346,0.00131,0.259,0.928,128.968,360427,61
207,0UnnD9TMPfv1oaxUyNzcCl,0.572,0.995,1,-4.281,1,0.204,0.144,1.19E-05,0.272,0.493,130.007,245640,3
208,210z0FhkJXCXQTM8A1hEHr,0.706,0.965,1,-5.966,1,0.0571,0.0071,0.158,0.265,0.59,115.993,218867,1
209,0M7ZlP2RfhlrV5Jc7LkBRj,0.687,0.556,8,-7.051,1,0.0282,0.0382,0.463,0.213,0.466,136.027,393373,5
210,7EXJ4wOPK8ksl5uE3bhTSN,0.455,0.419,7,-9.232,1,0.0363,0.113,0.786,0.0773,0.241,119.426,188867,32
211,0pPK8B24PaXj5Hn7F1ZZB7,0.514,0.724,0,-5.817,1,0.0361,0.306,0.312,0.0544,0.468,122.116,142293,31
212,4y5xk197b2poqeshkCe3ON,0.533,0.698,3,-7.853,1,0.0678,0.501,5.27E-06,0.478,0.786,154.837,164293,2
213,6S7PklMjEABORVAVCJieET,0.512,0.842,8,-6.83,0,0.0613,0.544,1.01E-05,0.373,0.632,94.584,177213,2
214,00Roxf5Opk9tpXXhIAQl8i,0.886,0.664,5,-11.758,0,0.0563,0.0766,0.195,0.155,0.922,116.586,304000,41
215,6rUk8zYCxZhM4ExcsFKrA6,0.582,0.702,7,-9.814,0,0.0352,0.207,0.689,0.0369,0.927,116.027,285173,0
216,2gfAyFpilXJOIRYSEOPDh3,0.566,0.815,2,-10.496,1,0.0533,0.00551,0.0002,0.197,0.903,119.396,367373,14
217,20VuO95A8RxUPlShnfYArW,0.476,0.604,0,-10.85,0,0.117,0.11,4.15E-05,0.134,0.583,87.304,395373,59
218,0WAHPyII3wnmdjM1SPvqWp,0.869,0.462,7,-8.478,1,0.0372,0.0351,0.0979,0.0474,0.831,103.249,418000,28
219,0FFbJzXvag9ZRel7oNa1wU,0.686,0.42,7,-12.75,1,0.0528,0.0242,0.00172,0.135,0.457,112.634,205893,42
220,7cKLOenzViwzoHJWciMIrj,0.722,0.605,5,-6.07,1,0.153,0.825,0.0178,0.248,0.709,165.998,196507,67
221,1FM6t2waRSnXQBNVdBd5e1,0.657,0.501,1,-13.206,0,0.0647,0.155,8.66E-06,0.0549,0.739,165.9,162947,2
222,5ZBZSepIdSYbPaTSZLvZBU,0.437,0.525,8,-8.074,1,0.0497,0.767,4.16E-05,0.25,0.478,152.469,196682,49
