artist,pos_count,nouns_count,verbs_count,adjs_counts,avgNounRatio,avgVerbRatio,avgAdjRatio,acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mode,song key,speechiness,tempo,time signature,valence,Compound Score,Positive Score,Negative Score,Neutral Score
Backstreet Boys,309,30.8,60,10.4,0.099676375,0.194174757,0.033656958,0.1823,0.6482,232053.6,0.729,3.48E-06,0.2416,-5.2608,0,5,0.0293,113.4268,3.8,0.5118,0.94524,0.1822,0.0678,0.7506
Barbra Streisand,441,58.66666667,85,26.33333333,0.13303099,0.192743764,0.059712774,0.411666667,0.589,197680,0.441333333,0,0.246,-12.025,1,6,0.113533333,114.2476667,3.666666667,0.743333333,0.9439,0.113333333,0.054,0.832666667
Beach Boys,363,65,54.75,20.25,0.179063361,0.150826446,0.055785124,0.249325,0.54075,182593.25,0.59975,3.10E-05,0.189,-6.9135,0.75,6.75,0.033625,110.9235,4,0.73875,0.981525,0.208,0.00175,0.79025
Beautiful South,285.4545455,38.81818182,52.09090909,25.54545455,0.136204147,0.18277512,0.089633174,0.37348,0.590909091,230186.6364,0.484727273,0.001775678,0.130545455,-12.74436364,0.909090909,6.636363636,0.045645455,122.1786364,4,0.527090909,0.406445455,0.170363636,0.089636364,0.739818182
Beauty And The Beast,702.5,66.5,114.5,34,0.094729345,0.163105413,0.048433048,0.695,0.4725,220333,0.453,2.58E-05,0.2265,-9.749,0.5,5.5,0.0521,114.914,4,0.526,0.9652,0.125,0.085,0.79
Bee Gees,299.25,35.5,58.5,28.75,0.118729097,0.195652174,0.096153846,0.276,0.5495,224480,0.41075,0.02825244,0.105325,-11.188,0.5,5.75,0.036525,106.1845,4,0.5145,0.0115,0.14575,0.13975,0.7145
Bette Midler,308.3571429,39.78571429,53,18.14285714,0.129174397,0.172077922,0.05890538,0.621876429,0.477428571,210461.8571,0.401678571,0.000814142,0.1635,-11.5465,0.857142857,6.214285714,0.042778571,111.6189286,4,0.416071429,0.944328571,0.165928571,0.063285714,0.770928571
Bill Withers,234.2,25.8,48.1,14.2,0.11025641,0.205555556,0.060683761,0.21777,0.7218,224145.1,0.5465,0.00407442,0.08906,-11.4974,0.6,7.3,0.06915,114.0645,4,0.7768,0.7669,0.1913,0.0579,0.7508
Billie Holiday,161.6363636,19.63636364,34.36363636,9.909090909,0.121212121,0.212121212,0.061167228,0.943272727,0.520818182,190287.9091,0.144372727,0.03411757,0.147272727,-14.31981818,0.909090909,5.454545455,0.048218182,90.91736364,4,0.375454545,0.574909091,0.232,0.085727273,0.682454545
Billy Joel,366.2222222,44.33333333,72.55555556,25,0.121129326,0.198239223,0.068306011,0.347811111,0.533111111,259403,0.599666667,2.91E-05,0.2777,-6.886111111,1,2.888888889,0.032911111,144.8931111,3.666666667,0.568555556,0.855155556,0.122333333,0.045888889,0.831555556
Bing Crosby,193,31.66666667,36,15.66666667,0.164075993,0.186528497,0.081174439,0.697666667,0.52,177307.6667,0.263666667,0.000173267,0.254333333,-12.57266667,0.666666667,3.666666667,0.037833333,107.3736667,3.333333333,0.508333333,0.9827,0.324333333,0.009,0.666666667
Blur,274.6,36.8,54.8,19.4,0.133818182,0.199272727,0.070545455,0.162396,0.478,273365.4,0.6776,0.00093359,0.111,-7.2274,1,7,0.05012,126.6684,3.8,0.5986,0.54614,0.1426,0.0954,0.7618
Bob Dylan,487,66.66666667,88.33333333,46,0.136892539,0.181382615,0.094455852,0.723,0.558333333,271600,0.373666667,0.001023667,0.155466667,-14.70666667,1,4.333333333,0.035533333,100.969,4,0.527,-0.344733333,0.097333333,0.121666667,0.781
Bob Marley,392.125,44.75,73.5,26.125,0.114158163,0.1875,0.066645408,0.10413875,0.7585,216748.25,0.466125,3.97E-06,0.0996375,-10.02925,0.625,6.625,0.1417375,113.739625,4,0.724125,0.9398875,0.319875,0.03875,0.6415
Bob Rivers,210,27.2,24.4,31,0.12952381,0.116190476,0.147619048,0.23841,0.569,146408,0.5568,2.70E-05,0.37954,-10.1638,0.8,5.4,0.1136,130.463,4,0.6278,0.59496,0.1632,0.0466,0.7902
Bob Seger,264.9166667,38.25,48.91666667,21.08333333,0.144339623,0.184591195,0.079559748,0.143150833,0.588333333,260275.5833,0.80825,0.005151153,0.18915,-5.251916667,0.916666667,5.166666667,0.039275,123.6974167,4,0.615833333,0.477608333,0.112166667,0.077333333,0.810583333
Bon Jovi,460.2222222,55.44444444,103.1111111,32.66666667,0.120531401,0.224154589,0.071014493,0.081833333,0.425222222,302714.1111,0.817222222,2.24E-06,0.205911111,-4.160777778,0.777777778,2.888888889,0.041622222,116.6852222,3.888888889,0.398777778,0.111244444,0.139666667,0.095444444,0.764555556
Boney M.,341.6,43.9,54.6,27.5,0.128362573,0.159649123,0.080409357,0.15032,0.7224,253018.6,0.8316,0.11109538,0.2504,-7.0939,0.3,3.2,0.06653,126.877,4,0.9276,0.56857,0.2217,0.085,0.6933
Bonnie Raitt,278.2727273,30.27272727,60,16.27272727,0.108894702,0.215827338,0.05853499,0.472109091,0.660363636,286341,0.470909091,0.001360573,0.259390909,-11.83181818,0.818181818,5.636363636,0.037345455,106.8867273,4,0.536818182,0.259609091,0.133545455,0.099272727,0.767181818
Bread,215.3,20.4,46.1,10.4,0.094883721,0.214418605,0.048372093,0.7443,0.47,174648,0.24432,0.000304126,0.11987,-15.3858,1,7,0.03022,110.829,4,0.3851,0.44347,0.1073,0.0652,0.8276
Britney Spears,472.3333333,39.66666667,71.5,32.16666667,0.084039548,0.151483051,0.068149718,0.122298333,0.743,213691.1667,0.7035,0.0002028,0.1323,-4.9745,0.5,5,0.039983333,119.708,4,0.700166667,0.44045,0.091833333,0.0935,0.815
Bruce Springsteen,266,43.28571429,57.85714286,18,0.162728249,0.217508056,0.067669173,0.105297143,0.579285714,221041.7143,0.827,0.002264684,0.192,-7.040714286,0.857142857,6.714285714,0.038014286,117.3091429,4,0.817428571,0.833485714,0.145857143,0.057142857,0.797
Bruno Mars,434,48.72727273,84.63636364,26,0.112274822,0.195014663,0.059907834,0.295827273,0.672909091,210761.8182,0.641090909,6.58E-06,0.160981818,-5.354909091,0.636363636,4.090909091,0.053090909,128.7349091,4,0.565,0.4177,0.195181818,0.062090909,0.742636364
Bryan White,272.3636364,27.09090909,58.90909091,19.45454545,0.09959893,0.21657754,0.071524064,0.282472727,0.501272727,206333.6364,0.467545455,4.33E-07,0.114627273,-9.996181818,1,3.818181818,0.032781818,128.192,4,0.419745455,0.467918182,0.171090909,0.079909091,0.749272727
Cake,387,49,89.83333333,22.66666667,0.126614987,0.232127476,0.058570198,0.090643333,0.6125,215362.3333,0.751666667,0.014611017,0.121133333,-7.843166667,0.5,9.666666667,0.06105,136.025,4,0.805833333,0.330633333,0.131666667,0.092666667,0.775333333
Carly Simon,257.4285714,31,55.85714286,13.14285714,0.120622568,0.217342968,0.051139522,0.462771429,0.576142857,225949.1429,0.520714286,0.000185994,0.1482,-11.39985714,0.857142857,5.142857143,0.031685714,110.9734286,4,0.593,0.904371429,0.189571429,0.062714286,0.747571429
Carol Banawa,293.8571429,24.85714286,73.57142857,17.42857143,0.084548105,0.250242954,0.059280855,0.805857143,0.404142857,251762.4286,0.356,0.128169129,0.171285714,-9.019142857,1,2.285714286,0.031585714,123.6275714,3.857142857,0.191571429,0.775442857,0.172,0.054571429,0.773857143
Carpenters,276.6923077,35.84615385,55,19.46153846,0.129408498,0.198555957,0.070258262,0.741692308,0.388615385,215546.5385,0.300307692,0.00128921,0.124392308,-13.14538462,0.923076923,5.846153846,0.036415385,123.8615385,3.846153846,0.374392308,0.966953846,0.191307692,0.059615385,0.749153846
Cat Stevens,279.1052632,34.21052632,60.47368421,17.78947368,0.122618374,0.216751556,0.063761554,0.487331579,0.544473684,206286.5789,0.412631579,0.030965221,0.110178947,-11.63789474,1,3.684210526,0.037957895,121.7938947,3.947368421,0.575842105,0.593084211,0.191789474,0.084842105,0.723421053
Celine Dion,208,16.5,44.5,13,0.079326923,0.213942308,0.0625,0.18635,0.5175,261267,0.4825,0.01195262,0.1343,-7.546,0.5,9.5,0.03355,110.2735,4,0.26465,0.93865,0.2065,0.0835,0.71
Chaka Khan,251.7058824,27.76470588,56.52941176,13.70588235,0.110177404,0.224323063,0.054388422,0.302276471,0.690941176,256571.6471,0.663941176,0.085485113,0.169070588,-8.971941176,0.705882353,5.705882353,0.071794118,110.2054118,4,0.743764706,0.945441176,0.243764706,0.062411765,0.693764706
Cheap Trick,271.4166667,32.41666667,58.08333333,16.41666667,0.119618696,0.214329643,0.060578106,0.147018333,0.545166667,281416.6667,0.696666667,0.047814782,0.246416667,-10.23208333,0.916666667,3.75,0.0334,121.3599167,4,0.593333333,-0.065008333,0.118,0.128,0.753916667
Cher,430.6,50.4,107.6,23,0.116937355,0.249651972,0.053364269,0.30644,0.557,231082.8,0.613,0,0.16892,-10.2406,0.8,7,0.03662,125.8652,4,0.4676,0.73184,0.131,0.1026,0.7664
Chicago,173,27,22,18,0.156069364,0.12716763,0.104046243,0.577333333,0.533,282020,0.514,1.03E-06,0.0962,-8.874666667,0.666666667,5.333333333,0.056166667,90.68166667,4,0.429666667,0.8591,0.109,0.021,0.87
Chris Rea,203.1818182,26.54545455,38.81818182,13.45454545,0.130765786,0.191222571,0.066278549,0.129972727,0.630090909,263712.6364,0.633363636,0.057504355,0.151690909,-10.29354545,0.363636364,5.727272727,0.032063636,122.6860909,3.818181818,0.648181818,0.804936364,0.144272727,0.048454545,0.807272727
Christina Aguilera,394,36.5,81.5,25,0.092639594,0.206852792,0.063451777,0.4065,0.446,242260,0.7465,0.000178025,0.333,-2.6115,0,4.5,0.11425,132.546,4,0.2746,-0.0074,0.1555,0.1545,0.6905
Christina Perri,274,19,65,16,0.069343066,0.237226277,0.058394161,0.309,0.421,285120,0.407,0.000961,0.11,-7.445,1,10,0.0267,139.028,3,0.161,0.9956,0.273,0.06,0.666
Christy Moore,362.5,56.625,65,26,0.156422652,0.179558011,0.071823204,0.72475,0.547375,223926.75,0.3616625,0.04200915,0.64675,-14.243375,0.625,6.5,0.051025,104.7515,3.375,0.462125,0.3965,0.12125,0.0905,0.788375
Chuck Berry,261.875,34.25,46.25,18.5,0.130725191,0.176526718,0.070610687,0.71075,0.61575,177165,0.708375,0.019531088,0.193425,-9.943125,1,6.5,0.0936375,128.983125,4,0.87175,0.5055125,0.098375,0.036125,0.8655
Cinderella,397.375,59.125,81.25,26.75,0.148929471,0.20465995,0.067380353,0.2959375,0.452125,250682.625,0.602375,0.002973925,0.177225,-11.371375,0.875,8.125,0.034275,111.84375,4,0.43775,0.7734375,0.191,0.089125,0.719875
Clash,213.3333333,25.66666667,51.33333333,10.33333333,0.120500782,0.241001565,0.048513302,0.044169667,0.423333333,179751,0.798333333,0.263866667,0.259666667,-7.904666667,0.666666667,3.333333333,0.048166667,147.1143333,4,0.661333333,-0.140066667,0.083333333,0.125333333,0.791
Cliff Richard,291,46,47,34,0.158075601,0.161512027,0.116838488,0.0792,0.71,214576,0.792,3.32E-05,0.0871,-5.996,1,0,0.0453,116.687,4,0.858,-0.9952,0.092,0.246,0.662
Coldplay,286.1875,28.875,58.1875,17.5,0.100961538,0.203452797,0.061188811,0.218903125,0.4813125,271405.75,0.6070625,0.049886056,0.15255625,-7.3413125,0.5,5.6875,0.03295625,129.9453125,3.9375,0.2734375,-0.08528125,0.0981875,0.08825,0.8135
Cole Porter,147.5,18.5,25,9.5,0.125,0.168918919,0.064189189,0.756,0.595,200206.5,0.356,0.01965,0.08235,-12.124,0.5,5,0.04145,129.2145,4,0.4975,0.49135,0.237,0.058,0.705
Conway Twitty,229.5,20,55,15.5,0.086956522,0.239130435,0.067391304,0.5895,0.612,215533.5,0.2905,1.32E-05,0.1365,-14.317,1,3,0.0498,117.662,4,0.4015,0.96315,0.183,0.0735,0.7435
Counting Crows,375.5882353,44.64705882,77.23529412,23.88235294,0.118742178,0.205413016,0.063516896,0.300649412,0.539235294,252470.5294,0.677588235,0.009463822,0.172794118,-6.799411765,1,4.470588235,0.039752941,119.7046471,4.058823529,0.597317647,0.770364706,0.185058824,0.059529412,0.755823529
Creedence Clearwater Revival,208.1666667,28.75,36.16666667,9.833333333,0.138221154,0.173878205,0.047275641,0.093985,0.634,181363.3333,0.6975,0.089199416,0.122625,-7.939833333,0.916666667,4.083333333,0.032925,120.4451667,4,0.758416667,-0.015358333,0.101833333,0.097333333,0.800583333
Crowded House,254.4210526,30.94736842,52.68421053,12.78947368,0.121840033,0.207418152,0.050352259,0.141135789,0.511,209155.9474,0.630684211,0.000670806,0.115310526,-11.05242105,0.947368421,5.421052632,0.038073684,103.5945789,4,0.615368421,-0.154610526,0.075631579,0.099736842,0.824736842
Culture Club,356.2,40.9,81,27.5,0.11488764,0.22752809,0.077247191,0.2289,0.7243,229970.4,0.6243,0.0274,0.2201,-11.8658,0.6,7.6,0.04697,103.7475,4,0.776,0.14436,0.1735,0.1065,0.7195
Cyndi Lauper,333.1,34.1,79.4,17.4,0.102402402,0.238438438,0.052252252,0.381388,0.6673,241952.2,0.5774,0.000179584,0.16561,-9.7643,0.8,3.3,0.03293,134.8049,4,0.5335,0.01719,0.136,0.0783,0.7858
Dan Fogelberg,248.6666667,36.11111111,50.66666667,15.44444444,0.145024543,0.203480589,0.062025881,0.527866667,0.462444444,258441.4444,0.337522222,0.000324411,0.172544444,-15.02766667,0.888888889,3,0.0288,111.561,3.888888889,0.415444444,0.907111111,0.173333333,0.072555556,0.754
Dave Matthews Band,318.5,50.5,61,23.5,0.158805031,0.191823899,0.073899371,0.0329,0.5215,256593.5,0.793,9.95E-06,0.12235,-5.309,1,5.5,0.03275,141.676,4,0.5265,-0.9739,0.1035,0.1965,0.7
David Allan Coe,222.375,32.25,42.75,21.125,0.14527027,0.192567568,0.095157658,0.417875,0.56625,183633.5,0.395,1.06E-06,0.1994125,-10.720625,1,5.5,0.0380875,122.9505,3.75,0.602625,0.3082625,0.146125,0.080125,0.773875
David Pomeranz,221,28.42857143,45.85714286,15.71428571,0.12863607,0.207498384,0.071105365,0.543857143,0.467714286,242670.5714,0.293714286,3.71E-06,0.135257143,-10.17014286,1,3.142857143,0.028642857,97.77371429,3.857142857,0.181714286,0.927185714,0.155714286,0.044,0.800428571
Dean Martin,233.5,38.25,40.5,13.25,0.163461538,0.173076923,0.056623932,0.72125,0.53925,153673.25,0.34675,0,0.2195,-10.9665,0.25,6.5,0.061725,115.84375,4,0.54525,0.865825,0.175,0.031,0.79425
Deep Purple,233,31.4,45.6,18.73333333,0.134763948,0.195708155,0.080400572,0.13300704,0.510733333,328082.6667,0.6542,0.253514887,0.170073333,-11.09,0.6,6.533333333,0.043373333,122.434,4,0.585933333,0.41924,0.138,0.077933333,0.783733333
Def Leppard,364,50.1,62.9,19.7,0.137637363,0.172802198,0.054120879,0.0079743,0.5326,304874.1,0.8584,0.060086094,0.38376,-6.3744,0.5,6.9,0.05098,106.8256,4,0.5027,0.5802,0.1858,0.0957,0.7181
Demi Lovato,380.125,42.25,85.75,25.875,0.111184211,0.225657895,0.068092105,0.237115,0.54825,212786.625,0.645875,2.00E-05,0.1152,-5.016125,0.625,7.875,0.064325,119.58225,3.875,0.45625,0.0224625,0.136875,0.116125,0.747125
Depeche Mode,238,27.33333333,40.66666667,29.66666667,0.114845938,0.170868347,0.12464986,0.168633333,0.619666667,218302.3333,0.757333333,0.135566667,0.143033333,-8.596666667,0.666666667,4,0.0347,104.7973333,4,0.675666667,0.308266667,0.122333333,0.199666667,0.677666667
Devo,253.7,34.6,45.9,15,0.136220472,0.180708661,0.059055118,0.223563,0.675,197317.3,0.6664,0.22422572,0.14262,-11.5926,0.9,4.1,0.04873,145.7995,3.9,0.7389,0.74942,0.1836,0.0684,0.7482
Dewa 19,165.25,65.5,15.5,10.25,0.396969697,0.093939394,0.062121212,0.29072025,0.50625,263681,0.663,0.000171768,0.17125,-6.923,0.75,5,0.041025,157.07875,3.75,0.5845,0,0,0,1
Diana Ross,337.2,34.8,73.9,20.2,0.103264095,0.219287834,0.059940653,0.3083,0.5963,264231.9,0.5981,0.0752946,0.2133,-9.2215,0.9,6.3,0.03951,104.8038,4,0.5523,0.71016,0.2581,0.0724,0.6695
Dire Straits,287.3,49.25,54.35,18.6,0.171602787,0.189372822,0.064808362,0.328535,0.6483,352349.15,0.59845,0.173273215,0.13118,-11.16305,0.65,5.8,0.04325,127.64585,4,0.64475,0.249965,0.11215,0.08525,0.8025
Dolly Parton,204,19,38,11,0.093137255,0.18627451,0.053921569,0.934,0.661,158853,0.265,0.00707,0.12,-14.42,1,2,0.0465,121.058,4,0.831,0.9961,0.288,0.032,0.679
Don Henley,365.1666667,48.91666667,79.33333333,21.66666667,0.134018265,0.217351598,0.059360731,0.249258333,0.63025,308029.9167,0.601833333,0.0008261,0.128141667,-8.780333333,0.75,6.25,0.030158333,107.344,4,0.579075,0.611266667,0.127416667,0.07825,0.794166667
