artist,acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mode,song key,speechiness,tempo,time signature,valence,compound,positive,negative,neutral
Billy Joel,0.347811111,0.533111111,259403,0.599666667,2.91E-05,0.2777,-6.886111111,1,2.888888889,0.032911111,144.8931111,3.666666667,0.568555556,0.855155556,0.122333333,0.045888889,0.831555556
Bing Crosby,0.697666667,0.52,177307.6667,0.263666667,0.000173267,0.254333333,-12.57266667,0.666666667,3.666666667,0.037833333,107.3736667,3.333333333,0.508333333,0.9827,0.324333333,0.009,0.666666667
Blur,0.162396,0.478,273365.4,0.6776,0.00093359,0.111,-7.2274,1,7,0.05012,126.6684,3.8,0.5986,0.54614,0.1426,0.0954,0.7618
Bob Dylan,0.723,0.558333333,271600,0.373666667,0.001023667,0.155466667,-14.70666667,1,4.333333333,0.035533333,100.969,4,0.527,-0.344733333,0.097333333,0.121666667,0.781
Bob Marley,0.10413875,0.7585,216748.25,0.466125,3.97E-06,0.0996375,-10.02925,0.625,6.625,0.1417375,113.739625,4,0.724125,0.9398875,0.319875,0.03875,0.6415
Bob Rivers,0.23841,0.569,146408,0.5568,2.70E-05,0.37954,-10.1638,0.8,5.4,0.1136,130.463,4,0.6278,0.59496,0.1632,0.0466,0.7902
Bob Seger,0.143150833,0.588333333,260275.5833,0.80825,0.005151153,0.18915,-5.251916667,0.916666667,5.166666667,0.039275,123.6974167,4,0.615833333,0.477608333,0.112166667,0.077333333,0.810583333
Bon Jovi,0.081833333,0.425222222,302714.1111,0.817222222,2.24E-06,0.205911111,-4.160777778,0.777777778,2.888888889,0.041622222,116.6852222,3.888888889,0.398777778,0.111244444,0.139666667,0.095444444,0.764555556
Boney M.,0.15032,0.7224,253018.6,0.8316,0.11109538,0.2504,-7.0939,0.3,3.2,0.06653,126.877,4,0.9276,0.56857,0.2217,0.085,0.6933
Bonnie Raitt,0.472109091,0.660363636,286341,0.470909091,0.001360573,0.259390909,-11.83181818,0.818181818,5.636363636,0.037345455,106.8867273,4,0.536818182,0.259609091,0.133545455,0.099272727,0.767181818
